Intimidation,School--elementary/secondary,MA,7
All other larceny,Other/unknown,MT,1
Counterfeit/forgery,Residence/home,TN,1
Counterfeit/forgery,Service/gas station,UT,1
Impersonation,Church/Synagogue/Temple,WA,1
Simple asslt,Residence/home,AR,7
Agg asslt,Hotel/motel,CA,7
Simple asslt,Service/gas station,CA,11
Destruct/vandalism,Terminal,CT,2
Destruct/vandalism,Other/unknown,MD,3
Motor vehicle theft,Shopping mall,MI,1
Simple asslt,Service/gas station,MT,1
Robbery,Residence/home,NV,3
Simple asslt,Highway/road/alley,NV,16
Arson,Terminal,NV,1
Agg asslt,Highway/road/alley,RI,3
Destruct/vandalism,Restaurant,TX,7
Destruct/vandalism,Specialty store,TX,1
Agg asslt,Residence/home,PA,4
Simple asslt,Grocery/supermarket,TX,4
Agg asslt,Lake/waterway,TX,1
Robbery,Convenience store,TX,1
Intimidation,Department store,WA,1
Simple asslt,Office building,MA,4
Simple asslt,Parking lot/garage,PA,3
Simple asslt,Dock/wharf/freight/modal terminal,KY,2
Simple asslt,School--college/university,UT,1
Agg asslt,Office building,WI,1
Agg asslt,Office building,CA,1
Intimidation,School/college,ID,1
Robbery,Other/unknown,NB,1
Agg asslt,Church/Synagogue/Temple,ND,1
Destruct/vandalism,Residence/home,AL,12
Simple asslt,School/college,AR,1
Destruct/vandalism,Camp/campground,CA,2
All other larceny,Service/gas station,MA,1
Intimidation,Hotel/motel,MI,2
Destruct/vandalism,Highway/road/alley,PA,9
Burg/B & E,Farm facility,CA,1
Destruct/vandalism,Rental store,KY,1
Agg asslt,Restaurant,VA,1
Simple asslt,Restaurant,KS,1
Impersonation,Other/unknown,LA,1
All other larceny,Govt/public building,MA,1
Intimidation,Restaurant,PA,2
Destruct/vandalism,Grocery/supermarket,TN,1
Agg asslt,Highway/road/alley,ME,1
Destruct/vandalism,Drug store/dr office/hosp,DE,1
Intimidation,Govt/public building,IL,3
Simple asslt,Other/unknown,ME,6
Simple asslt,Highway/road/alley,MS,1
Intimidation,Convenience store,NJ,22
Intimidation,School/college,OR,4
Destruct/vandalism,Residence/home,PA,12
Agg asslt,School/college,WA,7
Destruct/vandalism,Highway/road/alley,WA,44
Intimidation,School--college/university,WA,7
All other larceny,Other/unknown,AZ,1
Robbery,Bar,CA,4
Intimidation,Hotel/motel,KS,3
Theft from motor vehicle,Residence/home,AR,1
Shoplifting,Department store,CT,2
Intimidation,Industrial site,MI,3
Theft from building,Residence/home,VA,2
Stolen property offenses,Terminal,WA,1
Drug/Narc violations,Convenience store,WA,1
Agg asslt,Farm facility,KY,1
Intimidation,Industrial site,WA,2
Rape,Hotel/motel,IN,1
Agg asslt,Terminal,CO,2
Simple asslt,School/college,CT,11
Destruct/vandalism,Office building,FL,7
Intimidation,Church/Synagogue/Temple,MI,14
Theft from motor vehicle,Parking lot/garage,ND,5
Agg asslt,Highway/road/alley,OH,24
Agg asslt,Jail/prison,OK,2
Agg asslt,Terminal,UT,1
Agg asslt,Residence/home,WV,9
Intimidation,Terminal,IL,2
Embezzlement,Drug store/dr office/hosp,TN,1
Wire fraud,Arena/stadium/fairgrounds/coliseum,CT,1
Destruct/vandalism,Department store,GA,1
Drug/Narc violations,Other/unknown,IN,1
Agg asslt,Department store,NV,1
False pretenses/swindle/conf game,Residence/home,UT,1
Theft of mv parts,Residence/home,CT,1
Agg asslt,Grocery/supermarket,IL,1
Simple asslt,Park/playground,ND,1
Rape,School--college/university,CO,1
Simple asslt,Terminal,NV,5
Theft of mv parts,Highway/road/alley,OR,1
Agg asslt,Other/unknown,SC,1
Burg/B & E,Construction site,WA,2
Destruct/vandalism,Residence/home,WV,10
Simple asslt,Church/Synagogue/Temple,MA,1
Agg asslt,Residence/home,NC,16
Agg asslt,Parking lot/garage,OR,4
Destruct/vandalism,Office building,PA,3
All other larceny,Other/unknown,RI,1
Destruct/vandalism,Park/playground,OR,1
Simple asslt,Convenience store,LA,2
Theft from building,School--elementary/secondary,MT,1
Intimidation,School--elementary/secondary,NC,6
Simple asslt,Shelter--mission/homeless,OR,1
Intimidation,Construction site,TX,1
Destruct/vandalism,Park/playground,WI,2
Agg asslt,Church/Synagogue/Temple,MA,1
Agg asslt,Rest area,MI,1
Destruct/vandalism,Highway/road/alley,FL,8
Simple asslt,Highway/road/alley,ID,13
Simple asslt,Field/woods,MI,1
Arson,Residence/home,NJ,2
Simple asslt,Office building,NV,5
Destruct/vandalism,Church/Synagogue/Temple,NY,103
Pocket-picking,Residence/home,TX,1
Simple asslt,Residence/home,VA,39
Destruct/vandalism,Highway/road/alley,AL,2
All other larceny,Residence/home,AL,2
Simple asslt,Convenience store,OK,3
Simple asslt,Church/Synagogue/Temple,TX,2
Burg/B & E,Residence/home,AK,1
Agg asslt,School--college/university,CT,1
Intimidation,Highway/road/alley,MD,1
Counterfeit/forgery,Bank,WA,1
Simple asslt,Specialty store,GA,1
Agg asslt,Govt/public building,MA,4
Intimidation,School--college/university,NB,1
Simple asslt,Specialty store,AZ,1
Agg asslt,Shelter--mission/homeless,CA,1
Destruct/vandalism,Park/playground,CA,33
Agg asslt,Other/unknown,DC,1
Destruct/vandalism,Bank,KY,1
Drug/Narc violations,Convenience store,MI,1
Destruct/vandalism,School--college/university,MN,5
Simple asslt,Bank,NC,2
Intimidation,Parking lot/garage,NJ,70
Destruct/vandalism,Specialty store,NJ,14
Intimidation,School/college,OK,6
Intimidation,Auto dealership new/used,TN,1
Destruct/vandalism,Construction site,WA,2
Theft of mv parts,Highway/road/alley,WI,2
Simple asslt,Office building,MI,8
Simple asslt,Residence/home,NB,16
Simple asslt,Grocery/supermarket,OR,1
All other larceny,Department store,UT,2
False pretenses/swindle/conf game,Residence/home,VA,3
Motor vehicle theft,Highway/road/alley,WA,2
Destruct/vandalism,Tribal lands,CA,1
Destruct/vandalism,Service/gas station,MO,1
